Date,Open,High,Low,Close,AdjClose,Volume
1993-06-28,12.468750,12.687500,11.937500,12.062500,8.343287,28609600
1993-07-05,12.000000,12.031250,11.593750,11.656250,8.062296,25196400
1993-07-12,11.718750,12.125000,11.375000,11.406250,7.889377,28160800
1993-07-19,11.406250,11.500000,10.406250,10.562500,7.305778,64254000
1993-07-26,10.468750,11.593750,10.281250,11.125000,7.694845,75259200
1993-08-02,11.093750,11.187500,10.781250,10.843750,7.500309,25114800
1993-08-09,10.843750,10.937500,10.312500,10.406250,7.238487,29658800
1993-08-16,10.406250,10.875000,10.156250,10.781250,7.499329,36637200
1993-08-23,10.781250,11.187500,10.750000,11.031250,7.673233,33218000
1993-08-30,11.031250,11.593750,11.031250,11.437500,7.955816,32896800
1993-09-06,11.531250,11.562500,10.875000,10.937500,7.608020,30419600
1993-09-13,10.968750,11.093750,10.687500,10.843750,7.542811,33443200
1993-09-20,10.812500,10.843750,10.375000,10.437500,7.260223,32486400
1993-09-27,10.437500,10.968750,10.312500,10.968750,7.629757,43903200
1993-10-04,11.062500,11.187500,10.812500,11.062500,7.694965,33096800
1993-10-11,11.062500,11.218750,10.625000,11.125000,7.738442,31509200
1993-10-18,11.125000,11.437500,10.718750,11.125000,7.738442,42082800
1993-10-25,10.968750,11.656250,10.937500,11.500000,7.999290,62114000
1993-11-01,11.500000,12.781250,11.437500,12.468750,8.673142,102874000
1993-11-08,12.562500,13.125000,12.250000,12.906250,9.021904,53344000
1993-11-15,12.906250,13.562500,12.687500,12.968750,9.065595,55960400
1993-11-22,12.968750,14.000000,12.906250,13.937500,9.742786,40230000
1993-11-29,14.000000,14.031250,13.281250,13.375000,9.349576,41902000
1993-12-06,13.250000,13.875000,13.187500,13.812500,9.655403,38328000
1993-12-13,13.968750,14.968750,13.843750,14.937500,10.441818,73286000
1993-12-20,14.812500,14.843750,14.531250,14.656250,10.245215,31845600
1993-12-27,14.656250,14.843750,14.093750,14.125000,9.873855,29406800
1994-01-03,14.218750,15.000000,14.218750,14.718750,10.288904,38744000
1994-01-10,14.718750,14.875000,14.531250,14.656250,10.245215,33275600
1994-01-17,14.625000,14.625000,13.687500,13.812500,9.655403,44794400
1994-01-24,13.937500,14.843750,13.843750,14.437500,10.092302,88890000
1994-01-31,14.468750,14.468750,13.000000,13.000000,9.087441,45710800
1994-02-07,13.093750,13.687500,13.000000,13.312500,9.347805,46631200
1994-02-14,13.343750,13.812500,13.031250,13.156250,9.238093,40262800
1994-02-21,13.156250,13.562500,13.156250,13.218750,9.281978,20746800
1994-02-28,13.281250,13.468750,13.031250,13.156250,9.238093,36223600
1994-03-07,13.250000,14.062500,12.843750,13.968750,9.808615,59536400
1994-03-14,14.031250,14.593750,13.968750,14.281250,10.028049,49608800
1994-03-21,14.218750,14.718750,13.406250,13.500000,9.479465,48950400
1994-03-28,13.593750,13.750000,13.000000,13.656250,9.589179,56456400
1994-04-04,13.250000,13.531250,13.062500,13.125000,9.216147,40472400
1994-04-11,13.156250,13.625000,12.968750,13.250000,9.303919,47814400
1994-04-18,13.218750,14.875000,12.843750,14.687500,10.313308,87361200
1994-04-25,14.625000,14.812500,14.187500,14.375000,10.093878,37942400
1994-05-02,14.375000,14.656250,14.062500,14.125000,9.918324,30023200
